priority_tier,H5_ID,candidate_count,old_line_heuristic,recommended_line,recommended_name,line_distance,heuristic_confidence,heuristic_reason,candidate_vhcnd_lines
T2-medium,地魄项链,3,,89,搂虄a Ph赂ch T漂ch L虄ch L芦i H谩a Gi铆i,,low,fallback-first-candidate-no-old-line,89(搂虄a Ph赂ch T漂ch L虄ch L芦i H谩a Gi铆i) | 308([搂虄nh th锚i] 搂虄a Ph赂ch T虄ch L虄ch L芦i H谩a Gi铆i) | 853([搂虄nh th锚i] 搂虄a Ph赂ch T虄ch L虄ch L芦i H谩a Gi铆i)
T2-medium,天光袖箭,3,,78,Thi陋n Quang 搂虄nh T漏m Ng颅ng Th脟n Ph茂,,low,fallback-first-candidate-no-old-line,78(Thi陋n Quang 搂虄nh T漏m Ng颅ng Th脟n Ph茂) | 297([搂虄nh th锚i] Thi陋n Ngoa 搂虄nh T漏m Ng颅ng Th脟n Ph茂) | 842([搂虄nh th锚i] Thi陋n Ngoa 搂虄nh T漏m Ng颅ng Th脟n Ph茂)
T2-medium,幽胧之墨蛛软履,3,,62,Minh 露o T碌 S赂t 搂茅c Nh脣n,,low,fallback-first-candidate-no-old-line,62(Minh 露o T碌 S赂t 搂茅c Nh脣n) | 281([搂虄nh th锚i] Minh Hoan T碌 S赂t 搂茅c 搂ao) | 826([搂虄nh th锚i] Minh Hoan T碌 S赂t 搂茅c 搂ao)
T2-medium,御龙战甲,3,,24,K茽 Nghi脰p B鹿ch H忙 V芦 Song kh脢u,,low,fallback-first-candidate-no-old-line,24(K茽 Nghi脰p B鹿ch H忙 V芦 Song kh脢u) | 243([搂虄nh th锚i] T么c Nghi脰p B鹿ch H忙 V芦 Song Kh脢u) | 788([搂虄nh th锚i] T么c Nghi脰p B鹿ch H忙 V芦 Song Kh脢u)
T2-medium,御龙护腕,3,,131,S颅卢ng Tinh Phong B鹿o ch脴 ho碌n,,low,fallback-first-candidate-no-old-line,131(S颅卢ng Tinh Phong B鹿o ch脴 ho碌n) | 350([搂虄nh th锚i] S颅卢ng Tinh Phong B鹿o Ch脴 Ho碌n) | 895([搂虄nh th锚i] S颅卢ng Tinh Phong B鹿o Ch脴 Ho碌n)
T2-medium,撼天战甲,3,,24,K茽 Nghi脰p B鹿ch H忙 V芦 Song kh脢u,,low,fallback-first-candidate-no-old-line,24(K茽 Nghi脰p B鹿ch H忙 V芦 Song kh脢u) | 243([搂虄nh th锚i] T么c Nghi脰p B鹿ch H忙 V芦 Song Kh脢u) | 788([搂虄nh th锚i] T么c Nghi脰p B鹿ch H忙 V芦 Song Kh脢u)
T2-medium,撼天神锤,3,,18,H赂m Thi陋n V蹋 Th脟n T颅卢ng Kim Gi赂p,,low,fallback-first-candidate-no-old-line,18(H赂m Thi陋n V蹋 Th脟n T颅卢ng Kim Gi赂p) | 237([搂虄nh th锚i] H路m Thi陋n V芒 Th脟n T颅卢ng Kim Gi赂p) | 782([搂虄nh th锚i] H路m Thi陋n V芒 Th脟n T颅卢ng Kim Gi赂p)
T2-medium,敌忾丐衫,3,,94,搂氓ng C啤u Ti虊m Long Y陋u 搂赂i,,low,fallback-first-candidate-no-old-line,94(搂氓ng C啤u Ti虊m Long Y陋u 搂赂i) | 313([搂虄nh th锚i] 搂氓ng C啤u Ti虊m Long Y陋u 搂赂i) | 858([搂虄nh th锚i] 搂氓ng C啤u Ti虊m Long Y陋u 搂赂i)
T2-medium,敌忾腰带,3,,135,L芦i Khung Linh Ng盲c U脠n L芦i,,low,fallback-first-candidate-no-old-line,135(L芦i Khung Linh Ng盲c U脠n L芦i) | 354([搂虄nh th锚i] L芦i Khung Linh Ng盲c U脠n L芦i) | 899(L芦i Khung Linh Ng盲c 脠n L芦i Uy脫n)
T2-medium,无尘丝带,3,,95,搂氓ng C啤u Kh赂ng Long H茅 Uy脫n,,low,fallback-first-candidate-no-old-line,95(搂氓ng C啤u Kh赂ng Long H茅 Uy脫n) | 314([搂虄nh th锚i] 搂氓ng C啤u Kh赂ng Long H茅 Th帽) | 859([搂虄nh th锚i] 搂氓ng C啤u Kh赂ng Long H茅 Th帽)
T2-medium,无尘法冠,3,,43,V芦 Tr脟n Thanh T漏m H颅铆ng Thi脰n Ch漏u,,low,fallback-first-candidate-no-old-line,43(V芦 Tr脟n Thanh T漏m H颅铆ng Thi脰n Ch漏u) | 262([搂虄nh th锚i] V芦 Tr脟n Thanh T漏m H颅铆ng Thi脰n Ch漏u) | 807([搂虄nh th锚i] V芦 Tr脟n Thanh T漏m H颅铆ng Thi脰n Ch漏u)
T2-medium,继业之玄武黄金铠,3,,24,K茽 Nghi脰p B鹿ch H忙 V芦 Song kh脢u,,low,fallback-first-candidate-no-old-line,24(K茽 Nghi脰p B鹿ch H忙 V芦 Song kh脢u) | 243([搂虄nh th锚i] T么c Nghi脰p B鹿ch H忙 V芦 Song Kh脢u) | 788([搂虄nh th锚i] T么c Nghi脰p B鹿ch H忙 V芦 Song Kh脢u)
T2-medium,雷琼腰配,3,,141,V么 露o Tung Phong Tuy茽t 露nh ngoa,,low,fallback-first-candidate-no-old-line,141(V么 露o Tung Phong Tuy茽t 露nh ngoa) | 360([搂虄nh th锚i] V么 Hoan T茂ng Phong Tuy茽t 露nh Ngoa) | 905([搂虄nh th锚i] V么 Hoan T茂ng Phong Tuy茽t 露nh Ngoa)
T2-medium,霜晶护腕,3,,111,Ma Ho碌ng 搂篓ng 搂鹿p Ngoa,,low,fallback-first-candidate-no-old-line,111(Ma Ho碌ng 搂篓ng 搂鹿p Ngoa) | 330([搂虄nh th锚i] Ma Ho碌ng 搂篓ng 搂鹿p Ngoa) | 875(Ma Ho碌ng Dung Kim 搂o鹿n Nh脣t Gi铆i)
T2-medium,魔煞战衣,3,,104,Ma S赂t X漂ch K瓢 T谩a Y陋u Kh脢u,,low,fallback-first-candidate-no-old-line,104(Ma S赂t X漂ch K瓢 T谩a Y陋u Kh脢u) | 323([搂虄nh th锚i] Ma S赂t X漂ch K瓢 T谩a Y陋u Kh脢u) | 868([搂虄nh th锚i] Ma S赂t X漂ch K瓢 T谩a Y陋u Kh脢u)
T2-medium,地魄头冠,4,,88,搂虄a Ph赂ch H戮c Di脰m Xung Thi陋n Li陋n,,low,fallback-first-candidate-no-old-line,88(搂虄a Ph赂ch H戮c Di脰m Xung Thi陋n Li陋n) | 307([搂虄nh th锚i] 搂虄a Ph赂ch H戮c Di脰m Xung Thi陋n Li陋n) | 485(Th脟n N芦ng M脝c L漏n Tri虊n Y陋u) | 852([搂虄nh th锚i] 搂虄a Ph赂ch H戮c Di脰m Xung Thi陋n Li陋n)
T2-medium,撼天战靴,4,,22,K茽 Nghi脰p B芦n L芦i To碌n Long th颅卢ng,,low,fallback-first-candidate-no-old-line,22(K茽 Nghi脰p B芦n L芦i To碌n Long th颅卢ng) | 27(Ng霉 Long L颅卯ng Ng漏n B露o 庐ao) | 241([搂虄nh th锚i] T么c Nghi脰p B芦n L芦i To碌n Long Th颅卢ng) | 786([搂虄nh th锚i] T么c Nghi脰p B芦n L芦i To碌n Long Th颅卢ng)
T2-medium,无尘腰配,4,,46,V芦 Tr脟n Ph脣t Quang Ch脴 Ho碌n,,low,fallback-first-candidate-no-old-line,46(V芦 Tr脟n Ph脣t Quang Ch脴 Ho碌n) | 56(B漂ch H露i Khi陋n T茽 Ch脴 ho碌n) | 275([搂虄nh th锚i] B漂ch H露i Ti陋m T茽 Ch脴 Ho碌n) | 820([搂虄nh th锚i] B漂ch H露i Ti陋m T茽 Ch脴 Ho碌n)
T2-medium,地魄速靴,5,,92,搂氓ng C啤u Phi Long 搂脟u ho碌n,,low,fallback-first-candidate-no-old-line,92(搂氓ng C啤u Phi Long 搂脟u ho碌n) | 217(An Bang B篓ng Tinh Th鹿ch H鹿ng Li陋n) | 447(To赂i Nh漏n Kim L蹋 Nhuy脭n Vi H茅 Uy脫n) | 515(Thu脟n T虄nh Chi Gi铆i) | 5294(2014脰膼脭陆脫脩虊锚隆陇潞鹿脩陋脕煤戮脭)
T2-medium,继业之奔雷钻龙枪,5,,23,K茽 Nghi脰p Huy虊n V蹋 Ho碌ng Kim Kh露i,,low,fallback-first-candidate-no-old-line,23(K茽 Nghi脰p Huy虊n V蹋 Ho碌ng Kim Kh露i) | 205(H氓ng 露nh Th脠m Vi陋n Uy脫n) | 242([搂虄nh th锚i] T么c Nghi脰p Huy虊n V芒 Ho碌ng Kim Kh露i) | 375([搂虄nh th锚i] H氓ng 露nh Tr脟m Vi陋n V路n T贸y) | 787([搂虄nh th锚i] T么c Nghi脰p Huy虊n V芒 Ho碌ng Kim Kh露i)
